8.20,5.24,-1.86,-0.61,1.56,0.44,12.327550172805786
7.15,0.17,-7.82,-1.99,3.32,0.14,12.468494653701782
8.80,-0.29,-11.13,-1.76,3.37,-0.86,12.547314643859863
2.09,-2.29,-18.32,-1.20,2.08,-1.22,12.657208919525146
6.60,4.28,-7.00,3.02,-1.97,2.39,12.7516508102417
8.67,1.44,-3.95,0.12,-0.09,0.50,12.861496686935425
8.60,1.29,-3.90,0.07,-0.00,0.20,12.939625978469849
8.59,1.12,-3.99,0.08,-0.06,0.11,13.065232038497925
8.53,0.98,-3.96,0.07,-0.06,0.16,13.143348932266235
8.48,1.01,-4.16,0.01,-0.22,-0.06,13.268877267837524
9.24,1.61,-4.44,0.44,-1.98,0.10,13.378554105758667
10.48,3.15,-9.39,2.40,-4.84,0.72,13.472309827804565
7.79,6.79,0.74,-0.73,0.58,0.26,13.582645893096924
7.29,0.04,-6.64,-1.55,3.41,-0.49,13.680530548095703
7.96,-0.90,-11.37,-1.31,3.44,-1.25,13.787764310836792
3.07,-9.72,-13.16,1.43,2.61,-2.70,13.89742398262024
19.13,12.04,-10.00,1.73,-0.81,1.60,14.007577896118164
9.40,0.54,-4.39,0.01,-0.20,0.43,14.101315259933472
8.65,1.10,-3.97,-0.01,0.00,0.09,14.195699691772461
8.40,1.20,-3.67,-0.01,-0.03,0.01,14.290745258331299
8.61,1.20,-4.05,0.02,-0.12,0.03,14.416469097137451
8.44,1.12,-4.30,-0.04,-0.13,-0.03,14.526577472686768
8.44,1.03,-4.50,-0.01,-0.08,-0.12,14.622352361679077
7.98,-2.25,-5.00,3.62,-0.38,-3.18,14.714849710464478
6.97,-2.75,-7.83,4.81,1.63,-4.84,14.844696044921875
10.32,0.22,-3.64,4.05,1.49,-2.74,14.934617519378662
7.73,1.22,-0.87,3.01,1.47,-2.26,15.030281782150269
7.29,1.69,-6.10,1.30,1.26,-1.65,15.138080596923828
2.72,0.56,-6.11,1.35,1.05,-1.65,15.247601509094238
4.48,7.48,-0.89,2.91,-0.58,1.19,15.35821008682251
9.73,1.87,-4.85,0.11,-0.24,0.33,15.452003002166748
8.63,1.14,-3.81,-0.05,0.02,0.02,15.561783075332642
8.48,1.43,-3.75,-0.00,-0.01,-0.00,15.655873537063599
8.25,1.64,-3.53,0.03,-0.06,0.08,15.765255451202393
8.32,1.34,-3.74,0.09,-0.09,0.16,15.859813928604126
8.50,0.96,-3.99,0.13,-0.22,0.06,15.96973204612732
8.88,0.33,-2.84,0.31,-2.06,-0.14,16.064098358154297
10.65,2.16,-8.97,1.78,-4.95,-0.03,16.17376160621643
7.65,6.99,0.36,0.81,0.77,-0.17,16.300505876541138
9.06,0.43,-5.69,-1.37,3.15,-0.56,16.377980709075928
10.67,0.92,-10.45,-1.11,3.90,-1.63,16.50430417060852
7.58,-1.80,-15.56,-1.78,2.78,-1.42,16.582797050476074
25.57,6.19,-8.99,0.94,-2.76,0.69,16.694633722305298
10.53,0.29,-6.72,0.13,-0.24,0.61,16.804616928100586
8.64,1.47,-4.03,0.01,-0.05,0.18,16.903279542922974
8.38,1.53,-3.87,0.07,-0.11,0.09,17.00840139389038
8.17,1.31,-4.22,0.05,-0.12,0.09,17.118159294128418
8.33,1.26,-4.19,-0.01,-0.14,-0.00,17.21299648284912
8.31,1.17,-3.95,0.02,-0.68,-0.04,17.32687783241272
8.72,1.78,-4.17,0.85,-5.23,-0.34,17.42156434059143
23.84,7.08,-13.02,1.52,-0.92,-1.43,17.52764916419983
8.71,7.01,-2.92,-1.51,2.82,0.12,17.62206244468689
8.87,1.54,-10.64,-1.91,3.93,-0.12,17.733367443084717
6.47,0.68,-13.42,-1.26,3.23,-1.55,17.845959663391113
-8.72,-8.24,-10.58,0.14,0.15,0.10,17.940374851226807
15.31,12.01,-15.30,1.24,-2.24,1.45,18.045173406600952
8.36,1.18,-3.88,0.03,-0.08,0.35,18.15486478805542
8.29,1.37,-3.73,0.03,-0.10,0.11,18.24933099746704
8.37,1.45,-4.28,0.03,-0.14,0.05,18.375020742416382
8.54,1.39,-4.34,-0.01,-0.15,-0.02,18.469913959503174
8.29,1.49,-4.32,-0.05,-0.37,-0.05,18.579596757888794
8.10,1.39,-3.79,0.23,-2.02,-0.12,18.675628423690796
12.63,4.98,-10.44,1.23,-5.87,-1.24,18.784461736679077
7.06,6.22,3.13,1.05,1.80,-0.12,18.89491105079651
7.98,3.70,-6.42,-1.78,3.82,-0.02,18.989160537719727
11.45,2.32,-13.64,-1.86,4.42,-0.49,19.0832200050354
-2.17,-2.26,-16.52,-2.17,2.63,-1.00,19.19320297241211
11.03,5.12,1.05,1.29,-2.32,1.04,19.302585124969482
8.86,1.85,-3.94,0.03,-0.19,0.40,19.412864446640015
8.53,1.75,-3.94,0.04,-0.16,0.08,19.507075786590576
8.36,1.38,-4.25,0.07,-0.14,0.10,19.616963148117065
8.36,1.60,-4.33,-0.00,-0.10,0.01,19.72717022895813
8.18,1.33,-4.12,-0.01,-0.21,-0.06,19.809161901474
8.24,1.55,-3.77,0.11,-1.14,-0.07,19.921046495437622
